id,qtr,ydstogo,ScoreDiff,PlayType
8600,4,very high,losing,Pass
1,1,high,losing,Pass
2,1,high,losing,Pass
4,1,high,losing,Pass
9,1,high,losing,Pass
12,1,high,losing,Pass
26,1,high,losing,Pass
29,1,high,losing,Pass
33,1,high,losing,Pass
35,1,high,losing,Pass
42,1,high,losing,Pass
51,1,high,losing,Run
59,1,high,losing,Pass
60,1,high,losing,Pass
63,1,high,losing,Pass
66,1,high,losing,Pass
69,1,high,losing,Pass
71,1,high,losing,Pass
73,1,high,losing,Pass
79,1,high,losing,Pass
81,1,high,losing,Pass
85,1,high,losing,Pass
91,1,high,losing,Run
98,1,high,losing,Pass
100,1,high,losing,Pass
101,1,high,losing,Pass
104,1,high,losing,Pass
112,1,high,losing,Pass
116,1,high,losing,Pass
119,1,high,losing,Pass
120,1,high,losing,Pass
123,1,high,losing,Pass
129,1,high,losing,Pass
131,1,high,losing,Pass
137,1,high,losing,Pass
138,1,high,losing,Pass
142,1,high,losing,Pass
143,1,high,losing,Pass
144,1,high,losing,Pass
157,1,high,losing,Pass
158,1,high,losing,Pass
166,1,high,losing,Pass
168,1,high,losing,Pass
169,1,high,losing,Pass
171,1,high,losing,Pass
180,1,high,losing,Pass
186,1,high,losing,Pass
187,1,high,losing,Pass
188,1,high,losing,Pass
190,1,high,losing,Pass
191,1,high,losing,Pass
193,1,high,losing,Pass
195,1,high,losing,Pass
201,1,high,losing,Pass
205,1,high,losing,Pass
206,1,high,losing,Pass
208,1,high,losing,Pass
213,1,high,losing,Pass
214,1,high,losing,Pass
215,1,high,losing,Pass
217,1,high,losing,Pass
219,1,high,losing,Pass
223,1,high,losing,Pass
234,1,high,losing,Pass
242,1,high,losing,Pass
243,1,high,losing,Pass
247,1,high,losing,Run
253,1,high,losing,Pass
254,1,high,losing,Pass
260,1,high,losing,Pass
262,1,high,losing,Pass
268,1,high,losing,Pass
272,1,high,losing,Pass
284,1,high,losing,Pass
285,1,high,losing,Pass
287,1,high,losing,Pass
295,1,high,losing,Pass
296,1,high,losing,Pass
297,1,high,losing,Pass
307,1,high,losing,Pass
308,1,high,losing,Pass
312,1,high,losing,Run
314,1,high,losing,Pass
324,1,high,losing,Pass
328,1,high,losing,Pass
334,1,high,losing,Pass
336,1,high,losing,Pass
340,1,high,losing,Pass
342,1,high,losing,Pass
345,1,high,losing,Pass
356,1,high,losing,Pass
367,1,high,losing,Pass
368,1,high,losing,Pass
371,1,high,losing,Pass
372,1,high,losing,Pass
375,1,high,losing,Pass
384,1,high,losing,Pass
398,1,high,losing,Pass
399,1,high,losing,Pass
403,1,high,losing,Pass
404,1,high,losing,Pass
411,1,high,losing,Pass
412,1,high,losing,Pass
413,1,high,losing,Pass
415,1,high,losing,Pass
416,1,high,losing,Pass
417,1,high,losing,Pass
419,1,high,losing,Pass
429,1,high,losing,Pass
432,1,high,losing,Pass
438,1,high,losing,Pass
440,1,high,losing,Pass
451,1,high,losing,Pass
453,1,high,losing,Pass
454,1,high,losing,Pass
455,1,high,losing,Pass
456,1,high,losing,Pass
462,1,high,losing,Pass
463,1,high,losing,Pass
468,1,high,losing,Pass
469,1,high,losing,Pass
474,1,high,losing,Pass
482,1,high,losing,Pass
485,1,high,losing,Pass
486,1,high,losing,Pass
489,1,high,losing,Pass
491,1,high,losing,Pass
492,1,high,losing,Pass
497,1,high,losing,Pass
498,1,high,losing,Pass
502,1,high,losing,Pass
503,1,high,losing,Pass
504,1,high,losing,Pass
506,1,high,losing,Pass
511,1,high,losing,Pass
520,1,high,losing,Pass
521,1,high,losing,Pass
527,1,high,losing,Pass
532,1,high,losing,Pass
541,1,high,losing,Pass
544,1,high,losing,Pass
547,1,high,losing,Pass
552,1,high,losing,Pass
555,1,high,losing,Pass
556,1,high,losing,Pass
557,1,high,losing,Pass
560,1,high,losing,Pass
562,1,high,losing,Pass
563,1,high,losing,Pass
565,1,high,losing,Pass
572,1,high,losing,Pass
573,1,high,losing,Pass
577,1,high,losing,Pass
582,1,high,losing,Pass
586,1,high,losing,Pass
592,1,high,losing,Pass
598,1,high,losing,Run
600,1,high,losing,Pass
607,1,high,losing,Pass
623,1,high,losing,Pass
629,1,high,losing,Pass
637,1,high,losing,Pass
639,1,high,losing,Pass
640,1,high,losing,Pass
643,1,high,losing,Pass
649,1,high,losing,Pass
651,1,high,losing,Pass
655,1,high,losing,Pass
659,1,high,losing,Pass
660,1,high,losing,Pass
664,1,high,losing,Pass
666,1,high,losing,Pass
667,1,high,losing,Pass
671,1,high,losing,Pass
675,1,high,losing,Pass
682,1,high,losing,Run
683,1,high,losing,Pass
684,1,high,losing,Pass
686,1,high,losing,Pass
687,1,high,losing,Pass
690,1,high,losing,Pass
692,1,high,losing,Pass
698,1,high,losing,Pass
708,1,high,losing,Pass
709,1,high,losing,Pass
722,1,high,losing,Pass
724,1,high,tied,Pass
728,1,high,tied,Run
730,1,high,tied,Pass
733,1,high,tied,Run
735,1,high,tied,Pass
736,1,high,tied,Pass
738,1,high,tied,Pass
744,1,high,tied,Pass
754,1,high,tied,Pass
756,1,high,tied,Pass
764,1,high,tied,Pass
772,1,high,tied,Pass
777,1,high,tied,Pass
780,1,high,tied,Pass
787,1,high,tied,Pass
793,1,high,tied,Pass
806,1,high,tied,Pass
811,1,high,tied,Pass
813,1,high,tied,Pass
820,1,high,tied,Pass
821,1,high,tied,Run
823,1,high,tied,Pass
829,1,high,tied,Pass
831,1,high,tied,Pass
833,1,high,tied,Pass
835,1,high,tied,Pass
841,1,high,tied,Pass
845,1,high,tied,Pass
847,1,high,tied,Pass
849,1,high,tied,Pass
854,1,high,tied,Pass
856,1,high,tied,Pass
873,1,high,tied,Pass
879,1,high,tied,Pass
880,1,high,tied,Pass
887,1,high,tied,Run
889,1,high,tied,Pass
890,1,high,tied,Pass
892,1,high,tied,Pass
894,1,high,tied,Pass
898,1,high,tied,Pass
899,1,high,tied,Pass
901,1,high,tied,Pass
902,1,high,tied,Pass
904,1,high,tied,Pass
905,1,high,tied,Pass
906,1,high,tied,Pass
908,1,high,tied,Pass
912,1,high,tied,Pass
914,1,high,tied,Pass
915,1,high,tied,Run
917,1,high,tied,Pass
920,1,high,tied,Pass
923,1,high,tied,Pass
925,1,high,tied,Pass
932,1,high,tied,Pass
938,1,high,tied,Pass
939,1,high,tied,Pass
940,1,high,tied,Pass
942,1,high,tied,Pass
948,1,high,tied,Pass
